lent,return,lent_stationName,return_stationName,url
207,2214,여의나루역 1번출구 앞,신반포역 2번출구 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=신반포역 2번출구 앞 대여소&target=bicycle
207,249,여의나루역 1번출구 앞,여의도중학교 옆,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=여의도중학교 옆 대여소&target=bicycle
215,249,여의도고교 앞,여의도중학교 옆,http://map.daum.net/?sName=여의도고교 앞 대여소&eName=여의도중학교 옆 대여소&target=bicycle
2219,249,"고속터미널역 8-1번, 8-2번 출구 사이",여의도중학교 옆,"http://map.daum.net/?sName=고속터미널역 8-1번, 8-2번 출구 사이 대여소&eName=여의도중학교 옆 대여소&target=bicycle"
207,220,여의나루역 1번출구 앞,미성아파트 A동 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=미성아파트 A동 앞 대여소&target=bicycle
215,220,여의도고교 앞,미성아파트 A동 앞,http://map.daum.net/?sName=여의도고교 앞 대여소&eName=미성아파트 A동 앞 대여소&target=bicycle
207,218,여의나루역 1번출구 앞,증권거래소 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=증권거래소 앞 대여소&target=bicycle
211,218,여의도역 4번출구 옆,증권거래소 앞,http://map.daum.net/?sName=여의도역 4번출구 옆 대여소&eName=증권거래소 앞 대여소&target=bicycle
207,2217,여의나루역 1번출구 앞,아크로리버뷰 부지 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=아크로리버뷰 부지 앞 대여소&target=bicycle
207,825,여의나루역 1번출구 앞,서빙고동 주민센터 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=서빙고동 주민센터 앞 대여소&target=bicycle
810,825,이태원지하보도,서빙고동 주민센터 앞,http://map.daum.net/?sName=이태원지하보도 대여소&eName=서빙고동 주민센터 앞 대여소&target=bicycle
2301,825,현대고등학교 건너편,서빙고동 주민센터 앞,http://map.daum.net/?sName=현대고등학교 건너편 대여소&eName=서빙고동 주민센터 앞 대여소&target=bicycle
815,825,LIG강촌아파트 103동앞,서빙고동 주민센터 앞,http://map.daum.net/?sName=LIG강촌아파트 103동앞 대여소&eName=서빙고동 주민센터 앞 대여소&target=bicycle
207,248,여의나루역 1번출구 앞,초원아파트 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=초원아파트 앞 대여소&target=bicycle
147,248,마포역 4번출구 뒤,초원아파트 앞,http://map.daum.net/?sName=마포역 4번출구 뒤 대여소&eName=초원아파트 앞 대여소&target=bicycle
202,248,국민일보 앞,초원아파트 앞,http://map.daum.net/?sName=국민일보 앞 대여소&eName=초원아파트 앞 대여소&target=bicycle
210,248,IFC몰,초원아파트 앞,http://map.daum.net/?sName=IFC몰 대여소&eName=초원아파트 앞 대여소&target=bicycle
2008,2065,노량진근린공원 대방공원,서울시여성가족재단,http://map.daum.net/?sName=노량진근린공원 대방공원 대여소&eName=서울시여성가족재단 대여소&target=bicycle
118,148,광흥창역 2번출구 앞,용강동 주민센터 앞,http://map.daum.net/?sName=광흥창역 2번출구 앞 대여소&eName=용강동 주민센터 앞 대여소&target=bicycle
145,148,공덕역 5번출구,용강동 주민센터 앞,http://map.daum.net/?sName=공덕역 5번출구 대여소&eName=용강동 주민센터 앞 대여소&target=bicycle
2025,2040,흑석역 1번출구,비계 버스정류소,http://map.daum.net/?sName=흑석역 1번출구 대여소&eName=비계 버스정류소 대여소&target=bicycle
2025,2064,흑석역 1번출구,흑석한강푸르지오 106동앞,http://map.daum.net/?sName=흑석역 1번출구 대여소&eName=흑석한강푸르지오 106동앞 대여소&target=bicycle
2027,2064,중앙대학교 정문,흑석한강푸르지오 106동앞,http://map.daum.net/?sName=중앙대학교 정문 대여소&eName=흑석한강푸르지오 106동앞 대여소&target=bicycle
2025,2026,흑석역 1번출구,흑석역 4번출구,http://map.daum.net/?sName=흑석역 1번출구 대여소&eName=흑석역 4번출구 대여소&target=bicycle
2025,2027,흑석역 1번출구,중앙대학교 정문,http://map.daum.net/?sName=흑석역 1번출구 대여소&eName=중앙대학교 정문 대여소&target=bicycle
3509,563,세종사이버대학교,성동세무서 건너편,http://map.daum.net/?sName=세종사이버대학교 대여소&eName=성동세무서 건너편 대여소&target=bicycle
508,563,성수아카데미타워 앞,성동세무서 건너편,http://map.daum.net/?sName=성수아카데미타워 앞 대여소&eName=성동세무서 건너편 대여소&target=bicycle
516,563,광진메디칼 앞,성동세무서 건너편,http://map.daum.net/?sName=광진메디칼 앞 대여소&eName=성동세무서 건너편 대여소&target=bicycle
500,563,어린이대공원역 3번출구 앞,성동세무서 건너편,http://map.daum.net/?sName=어린이대공원역 3번출구 앞 대여소&eName=성동세무서 건너편 대여소&target=bicycle
509,563,이마트 버스정류소 옆,성동세무서 건너편,http://map.daum.net/?sName=이마트 버스정류소 옆 대여소&eName=성동세무서 건너편 대여소&target=bicycle
3518,563,군자역 7번출구뒤,성동세무서 건너편,http://map.daum.net/?sName=군자역 7번출구뒤 대여소&eName=성동세무서 건너편 대여소&target=bicycle
3509,574,세종사이버대학교,아차산역4번출구,http://map.daum.net/?sName=세종사이버대학교 대여소&eName=아차산역4번출구 대여소&target=bicycle
3500,574,군자역2번출구,아차산역4번출구,http://map.daum.net/?sName=군자역2번출구 대여소&eName=아차산역4번출구 대여소&target=bicycle
3518,574,군자역 7번출구뒤,아차산역4번출구,http://map.daum.net/?sName=군자역 7번출구뒤 대여소&eName=아차산역4번출구 대여소&target=bicycle
573,574,구의문주차장 앞,아차산역4번출구,http://map.daum.net/?sName=구의문주차장 앞 대여소&eName=아차산역4번출구 대여소&target=bicycle
3520,574,광진경찰서,아차산역4번출구,http://map.daum.net/?sName=광진경찰서 대여소&eName=아차산역4번출구 대여소&target=bicycle
3509,567,세종사이버대학교,성수역 2번출구 앞,http://map.daum.net/?sName=세종사이버대학교 대여소&eName=성수역 2번출구 앞 대여소&target=bicycle
502,567,뚝섬유원지역 1번출구 앞,성수역 2번출구 앞,http://map.daum.net/?sName=뚝섬유원지역 1번출구 앞 대여소&eName=성수역 2번출구 앞 대여소&target=bicycle
516,567,광진메디칼 앞,성수역 2번출구 앞,http://map.daum.net/?sName=광진메디칼 앞 대여소&eName=성수역 2번출구 앞 대여소&target=bicycle
511,567,서울숲역 4번 출구 옆,성수역 2번출구 앞,http://map.daum.net/?sName=서울숲역 4번 출구 옆 대여소&eName=성수역 2번출구 앞 대여소&target=bicycle
509,567,이마트 버스정류소 옆,성수역 2번출구 앞,http://map.daum.net/?sName=이마트 버스정류소 옆 대여소&eName=성수역 2번출구 앞 대여소&target=bicycle
3509,500,세종사이버대학교,어린이대공원역 3번출구 앞,http://map.daum.net/?sName=세종사이버대학교 대여소&eName=어린이대공원역 3번출구 앞 대여소&target=bicycle
3518,500,군자역 7번출구뒤,어린이대공원역 3번출구 앞,http://map.daum.net/?sName=군자역 7번출구뒤 대여소&eName=어린이대공원역 3번출구 앞 대여소&target=bicycle
634,651,외국어대 정문 앞,우리은행청량리지점앞,http://map.daum.net/?sName=외국어대 정문 앞 대여소&eName=우리은행청량리지점앞 대여소&target=bicycle
623,651,서울시립대 정문 앞,우리은행청량리지점앞,http://map.daum.net/?sName=서울시립대 정문 앞 대여소&eName=우리은행청량리지점앞 대여소&target=bicycle
911,917,은평평화공원(역촌역4번출구),녹번역 4번출구,http://map.daum.net/?sName=은평평화공원(역촌역4번출구) 대여소&eName=녹번역 4번출구 대여소&target=bicycle
913,917,이마트 은평점,녹번역 4번출구,http://map.daum.net/?sName=이마트 은평점 대여소&eName=녹번역 4번출구 대여소&target=bicycle
907,917,CJ 드림시티,녹번역 4번출구,http://map.daum.net/?sName=CJ 드림시티 대여소&eName=녹번역 4번출구 대여소&target=bicycle
911,943,은평평화공원(역촌역4번출구),은평구청 보건소,http://map.daum.net/?sName=은평평화공원(역촌역4번출구) 대여소&eName=은평구청 보건소 대여소&target=bicycle
907,943,CJ 드림시티,은평구청 보건소,http://map.daum.net/?sName=CJ 드림시티 대여소&eName=은평구청 보건소 대여소&target=bicycle
901,943,응암1동사무소,은평구청 보건소,http://map.daum.net/?sName=응암1동사무소 대여소&eName=은평구청 보건소 대여소&target=bicycle
911,939,은평평화공원(역촌역4번출구),은평구청 교차로,http://map.daum.net/?sName=은평평화공원(역촌역4번출구) 대여소&eName=은평구청 교차로 대여소&target=bicycle
913,939,이마트 은평점,은평구청 교차로,http://map.daum.net/?sName=이마트 은평점 대여소&eName=은평구청 교차로 대여소&target=bicycle
907,939,CJ 드림시티,은평구청 교차로,http://map.daum.net/?sName=CJ 드림시티 대여소&eName=은평구청 교차로 대여소&target=bicycle
917,939,녹번역 4번출구,은평구청 교차로,http://map.daum.net/?sName=녹번역 4번출구 대여소&eName=은평구청 교차로 대여소&target=bicycle
2103,2145,신림동 우방아파트,은천초등학교 육교,http://map.daum.net/?sName=신림동 우방아파트 대여소&eName=은천초등학교 육교 대여소&target=bicycle
2109,2145,은천로입구 가로공원,은천초등학교 육교,http://map.daum.net/?sName=은천로입구 가로공원 대여소&eName=은천초등학교 육교 대여소&target=bicycle
2059,2145,보라매공원 정문,은천초등학교 육교,http://map.daum.net/?sName=보라매공원 정문 대여소&eName=은천초등학교 육교 대여소&target=bicycle
2103,2113,신림동 우방아파트,관악동작견인차량보관소,http://map.daum.net/?sName=신림동 우방아파트 대여소&eName=관악동작견인차량보관소 대여소&target=bicycle
2012,2113,녹십초요양병원앞,관악동작견인차량보관소,http://map.daum.net/?sName=녹십초요양병원앞 대여소&eName=관악동작견인차량보관소 대여소&target=bicycle
2103,2173,신림동 우방아파트,당곡사거리,http://map.daum.net/?sName=신림동 우방아파트 대여소&eName=당곡사거리 대여소&target=bicycle
2153,2173,서울남부초등학교 옆,당곡사거리,http://map.daum.net/?sName=서울남부초등학교 옆 대여소&eName=당곡사거리 대여소&target=bicycle
